Denomination,Monarch,Year,F,VF,EF,Unc
Shilling,Oliver Cromwell,1658,1000,2200,4250,
Shilling,Oliver Cromwell,1658d,,,,
Shilling,Charles II,1663,125,500,1600,
Shilling,Charles II,1663v,300,800,,
Shilling,Charles II,1666el,500,1500,6000,
Shilling,Charles II,1666elg,1800,4500,,
Shilling,Charles II,1666,,,,
Shilling,Charles II,1668b1,120,400,1600,
Shilling,Charles II,1668b2,120,450,1600,
Shilling,Charles II,1669,,,,
Shilling,Charles II,1670,150,500,2100,
Shilling,Charles II,1671,150,500,2100,
Shilling,Charles II,1671plb,450,1000,4500,
Shilling,Charles II,1672,150,550,2100,
Shilling,Charles II,1673,150,550,2100,
Shilling,Charles II,1673plb,500,1200,5000,
Shilling,Charles II,1674b2,150,500,2100,
Shilling,Charles II,1674plb,400,1600,5000,
Shilling,Charles II,1674plr,700,2000,5000,
Shilling,Charles II,1674b3,450,1600,,
Shilling,Charles II,1675b2,200,800,,
Shilling,Charles II,1675plb,450,1250,5500,
Shilling,Charles II,1675b3,350,1300,,
Shilling,Charles II,1676,125,450,1800,
Shilling,Charles II,1676plb,450,1600,5250,
Shilling,Charles II,1677,130,500,2000,
Shilling,Charles II,1677pl,1200,3000,9000,
Shilling,Charles II,1678,140,500,2000,
Shilling,Charles II,1679,140,500,2200,
Shilling,Charles II,1679plb,450,1200,6000,
Shilling,Charles II,1679pl,700,2500,6000,
Shilling,Charles II,1680,,,,
Shilling,Charles II,1680plb,1100,3000,6500,
Shilling,Charles II,1681,300,850,3000,
Shilling,Charles II,1681ec,3000,9000,,
Shilling,Charles II,1682,350,900,,
Shilling,Charles II,1683b2,,,,
Shilling,Charles II,1683b4,250,800,2700,
Shilling,Charles II,1684,250,800,2700,
Shilling,James II,1685,200,500,2000,
Shilling,James II,1685 Plumes in the centre,,,,
Shilling,James II,1685 No stop,220,650,,
Shilling,James II,1686,220,550,2300,
Shilling,James II,1686/5,225,600,2250,
Shilling,James II,1687,200,600,2200,
Shilling,James II,1687/6,200,550,2300,
Shilling,James II,1688/7,200,600,2500,
Shilling,James II,1688,200,600,2500,
Shilling,William & Mary,1692,180,500,2400,
Shilling,William & Mary,1692 - Inverted 1 in date,210,550,2450,
Shilling,William & Mary,1693,180,500,2400,
Shilling,William III,1695,40,120,600,
Shilling,William III,1696b1,40,100,450,
Shilling,William III,1696nsr,60,140,750,
Shilling,William III,1696b1B,60,150,900,
Shilling,William III,1696b1C,55,150,900,
Shilling,William III,1696b1E,60,160,950,
Shilling,William III,1696b1N,55,150,825,
Shilling,William III,1696b1y,55,150,825,
Shilling,William III,1696b1Y,55,150,825,
Shilling,William III,1696b2,,,,
Shilling,William III,1696b3C,160,400,1500,
Shilling,William III,1696b3Y,,,,
Shilling,William III,1697b1,50,110,400,
Shilling,William III,1697nsr,60,180,700,
Shilling,William III,1697b1B,60,150,950,
Shilling,William III,1697b1C,60,150,950,
Shilling,William III,1697b1E,60,150,950,
Shilling,William III,1697b1N,60,150,950,
Shilling,William III,1697b1y,60,150,900,
Shilling,William III,1697b1Y,50,150,725,
Shilling,William III,1697b3,50,125,550,
Shilling,William III,1697b3B,60,150,750,
Shilling,William III,1697b3C,60,150,800,
Shilling,William III,1697b3E,60,150,850,
Shilling,William III,1697b3N,60,150,950,
Shilling,William III,1697b3y,60,150,800,
Shilling,William III,1697v3,60,140,575,
Shilling,William III,1697v3B,60,150,1000,
Shilling,William III,1697v3C,120,650,,
Shilling,William III,1698b3,90,275,1150,
Shilling,William III,1698pl,200,550,2200,
Shilling,William III,1698b4,150,600,2200,
Shilling,William III,1699b4,110,450,1500,
Shilling,William III,1699b5,100,325,1250,
Shilling,William III,1699pl,150,450,2200,
Shilling,William III,1699r,160,500,2100,
Shilling,William III,1700,70,140,600,
Shilling,William III,1700plb,2750,10000,,
Shilling,William III,1701,80,275,1000,
Shilling,William III,1701pl,160,650,2100,
Shilling,Anne,1702,80,300,700,
Shilling,Anne,1702pl,100,300,850,
Shilling,Anne,1702V,70,220,700,
Shilling,Anne,1703V,65,200,800,
Shilling,Anne,1704,500,1800,,
Shilling,Anne,1704pl,80,240,850,
Shilling,Anne,1705,75,220,750,
Shilling,Anne,1705pl,80,240,800,
Shilling,Anne,1705rp,70,200,700,
Shilling,Anne,1707rp,60,180,650,
Shilling,Anne,1707b2E,50,140,550,
Shilling,Anne,1707b3,35,100,450,
Shilling,Anne,1707pl,50,180,800,
Shilling,Anne,1707b3E,40,90,500,
Shilling,Anne,1708E2,50,100,450,
Shilling,Anne,1708rp2,80,275,650,
Shilling,Anne,1708b3,45,140,475,
Shilling,Anne,1708pl,80,220,700,
Shilling,Anne,1708E3,60,175,650,
Shilling,Anne,1708rp3,70,180,625,
Shilling,Anne,1709,50,160,500,
Shilling,Anne,1709E,70,160,550,
Shilling,Anne,1710rp3,60,140,675,
Shilling,Anne,1710rp4,60,150,675,
Shilling,Anne,1711b3,70,160,475,
Shilling,Anne,1711b4,30,75,250,
Shilling,Anne,1712rp,60,130,475,
Shilling,Anne,1713rp,60,130,450,
Shilling,Anne,1714rp,60,110,375,
Shilling,George I,1715rp,80,200,900,
Shilling,George I,1716rp,150,500,2000,
Shilling,George I,1717rp,90,300,1400,
Shilling,George I,1718rp,75,225,800,
Shilling,George I,1719rp,120,500,2200,
Shilling,George I,1720rp,75,180,475,
Shilling,George I,1720,40,100,450,
Shilling,George I,1721rp,100,350,1750,
Shilling,George I,1721,120,450,1500,
Shilling,George I,1722rp,80,240,1100,
Shilling,George I,1723rp1,90,275,1200,
Shilling,George I,1723SF,100,300,800,
Shilling,George I,1723S1,35,110,275,
Shilling,George I,1723S2,50,170,550,
Shilling,George I,1723rp2,100,270,1100,
Shilling,George I,1723WCC,1000,2200,7000,
Shilling,George I,1724rp,80,200,800,
Shilling,George I,1724WCC,1000,2200,7000,
Shilling,George I,1725rp,80,200,1000,
Shilling,George I,1725WCC,1000,2200,8000,
Shilling,George I,1726rp,700,1800,7000,
Shilling,George I,1726WCC,1050,2250,8250,
Shilling,George I,1727rp,,,,
Shilling,George I,1727rpn,,,,
Shilling,George II,1727 Plumes,75,300,950,
Shilling,George II,1727 Roses and plumes on angles,60,180,650,
